Hash;Timestamp;Branching Time;Merge Time;Committers 1;Committers 2;Diff Committers;Same Committers;Commits 1;Commits 2;Changed Files 1;Changed Files 2;Changed Files Intersection;Conflict;Conflicted Files;Chunks;Modified Chunks;Self Conflicts
3d0555a32c2eecef2602997b69a737f8d7f0caef;2017-02-10 16:02:41 +0100;35.9252662;37.2421296;10;1;10;0;77;5;137;5;SOME;true;1;2;2;0
a1554ffe52e11af376fcc04627b82e9e7e8cc796;2017-02-06 12:46:31 +0100;3.8589352;3.9510995;2;1;1;1;4;15;7;30;NONE;false;0;0;0;0
434fe9215800004aac25515b91200c5ac81a649c;2017-01-20 16:08:47 +0100;5.5189468;6.7372917;2;1;1;1;4;3;8;32;SOME;false;0;0;0;0
3db06e922eaedc18ff7027ed5a8a2d00adbf557f;2017-01-13 22:28:57 +0100;11.1106597;12.4222685;3;1;3;0;6;1;10;2;NONE;false;0;0;0;0
c65d0117bc0332acf969187795ef32428ac56f5b;2017-01-13 22:28:20 +0100;8.1949421;9.5099421;1;1;1;0;2;1;3;6;NONE;false;0;0;0;0
495af2f71ed515bfc84afd7957e33c0b7794cb04;2017-01-04 10:14:01 +0100;26.9077315;34.0369676;4;1;3;1;12;1;24;2;SOME;false;0;0;0;0
31cdb4568eec65c857ed6e472a87a9e86f8b49a7;2016-12-17 08:26:41 +0100;40.4807755;40.6712847;7;1;7;0;40;3;65;2;SOME;false;0;0;0;0
9008a39bc4ed866d024da3101320fb8f7710ae83;2016-11-11 16:57:50 +0100;1.8573958;5.0262500;2;1;2;0;4;16;2;14;NONE;false;0;0;0;0
f61a46303fe97b21e6808eb5a8d88d01c8f6b770;2016-11-08 17:28:17 +0100;57.0280324;57.4764931;11;1;11;0;73;1;127;1;NONE;false;0;0;0;0
854d0eb0ab78693ac80fb3d3e04c3e1847a94e08;2016-11-06 20:56:55 +0100;0.0456944;0.0486921;3;1;2;1;8;1;11;1;NONE;false;0;0;0;0
c104b84135af5dde8cc38d0e137d0fbd32b305ed;2016-11-06 20:53:38 +0100;0.8770718;2.4231713;1;2;2;0;3;6;10;10;SOME;true;2;2;2;0
52c51a1c38bdfcdb893893f5f271b3ddc1a545ee;2016-11-06 16:00:36 +0100;39.9610764;43.2814236;7;1;7;0;50;3;101;8;SOME;true;1;1;1;0
64a1652024ce354c7c124fc287dd8132c8ddc1ff;2016-10-26 23:34:01 +0200;6.0362269;12.4439699;3;1;3;0;9;1;54;1;NONE;false;0;0;0;0
1d8a76ebd9836b0a51f837f19867221517ca781f;2016-10-25 13:29:07 +0200;166.1516667;167.8585995;18;1;17;1;331;2;439;1;NONE;false;0;0;0;0
460a32ded6ade2dbe3c5028a79f003285dc4e750;2016-10-12 10:26:46 +0200;13.9874884;14.5476736;3;1;2;1;27;1;34;2;NONE;false;0;0;0;0
237bc5d44d7bddf21af97daf708f9d1661a73374;2016-10-11 21:36:31 +0200;8.0169560;11.2946528;2;1;2;0;17;1;16;1;NONE;false;0;0;0;0
269cb66597fcd1aedb756f92ede537be9a5b59e3;2016-10-11 11:37:21 +0200;31.2980208;32.7640625;4;1;3;1;38;6;58;7;SOME;false;0;0;0;0
4c2ab268da0ab8be2df5a07cab89ce92a397035c;2016-09-29 17:08:56 +0200;1.5959144;1.9879398;1;1;0;1;5;1;12;6;SOME;false;0;0;0;0
fd6c4fd5a3c0eb01e7575dda303da38871ce19a0;2016-09-28 16:19:28 +0200;0.7923611;0.9535880;1;1;0;1;2;1;2;10;NONE;false;0;0;0;0
f987da9191066ede74a1c07896542956b64ecdd4;2016-09-27 10:31:33 +0200;0.6987963;3.7813773;1;1;1;0;2;3;4;4;NONE;false;0;0;0;0
4b0fb442c4875c114d1aab47ea718978cf96f894;2016-09-23 15:46:22 +0200;1.6332639;2.0133449;3;1;3;0;8;2;8;4;NONE;false;0;0;0;0
260d04d97a99c1449b1c029f1d335abf09b8b076;2016-09-23 15:46:08 +0200;10.8787500;11.3638889;3;1;2;1;8;1;11;1;NONE;false;0;0;0;0
eeb58468b637bdadf608370472969448c460ea80;2016-09-23 14:52:53 +0200;4.2054745;8.8732755;2;1;2;0;5;1;8;1;NONE;false;0;0;0;0
6f3e165dd5bc57f2d68ebc42317b56febceaa0d5;2016-09-23 14:51:02 +0200;10.8754861;11.3256250;1;1;1;0;3;2;6;5;SOME;false;0;0;0;0
